team,matches,wins,win_rate,avg_goals,avg_conceded
Bosnia and Herzegovina,286,104,0.36363636363636365,1.3636363636363635,1.3741258741258742
Andorra,229,14,0.0611353711790393,0.32751091703056767,2.37117903930131
British Virgin Islands,123,22,0.17886178861788618,0.926829268292683,2.9430894308943087
Frøya,37,7,0.1891891891891892,1.6216216216216217,3.945945945945946
Hitra,23,6,0.2608695652173913,1.608695652173913,4.0
United States Virgin Islands,78,10,0.1282051282051282,0.6923076923076923,3.782051282051282
Corsica,9,4,0.4444444444444444,1.1111111111111112,0.5555555555555556
Eritrea,71,11,0.15492957746478872,0.676056338028169,1.704225352112676
Bahamas,67,14,0.208955223880597,1.1194029850746268,3.1791044776119404
Gotland,30,11,0.36666666666666664,2.7,1.9
Saare County,35,5,0.14285714285714285,1.1714285714285715,2.5428571428571427
Rhodes,18,11,0.6111111111111112,1.6111111111111112,1.0555555555555556
Micronesia,7,1,0.14285714285714285,1.1428571428571428,8.428571428571429
Bhutan,110,11,0.1,0.5545454545454546,3.6545454545454548
Western Sahara,9,2,0.2222222222222222,1.7777777777777777,4.222222222222222
Orkney,28,9,0.32142857142857145,1.3571428571428572,3.0
Monaco,24,8,0.3333333333333333,1.7083333333333333,3.6666666666666665
Tuvalu,39,8,0.20512820512820512,1.1538461538461537,5.333333333333333
Sark,4,0,0.0,0.0,17.5
Mayotte,38,11,0.2894736842105263,1.3421052631578947,1.4736842105263157
Turks and Caicos Islands,52,12,0.23076923076923078,1.0,3.5961538461538463
Timor-Leste,86,9,0.10465116279069768,0.8255813953488372,3.302325581395349
Occitania,33,19,0.5757575757575758,3.121212121212121,1.1515151515151516
Chechnya,3,0,0.0,1.0,9.666666666666666
Western Isles,34,13,0.38235294117647056,1.5,2.264705882352941
Falkland Islands,33,6,0.18181818181818182,0.9393939393939394,3.6666666666666665
Kosovo,104,42,0.40384615384615385,1.4615384615384615,1.3365384615384615
Republic of St. Pauli,4,1,0.25,2.5,1.25
Găgăuzia,3,0,0.0,0.6666666666666666,3.0
Tibet,21,1,0.047619047619047616,1.4285714285714286,5.761904761904762
Sápmi,29,12,0.41379310344827586,3.103448275862069,1.8620689655172413
Northern Mariana Islands,30,4,0.13333333333333333,0.9,4.3
Romani people,7,2,0.2857142857142857,1.8571428571428572,3.7142857142857144
Menorca,25,11,0.44,2.24,1.28
Provence,23,8,0.34782608695652173,3.1739130434782608,2.5652173913043477
Arameans Suryoye,10,5,0.5,1.6,1.2
Padania,45,30,0.6666666666666666,2.688888888888889,0.8
Iraqi Kurdistan,27,13,0.48148148148148145,2.259259259259259,1.0
Gozo,14,4,0.2857142857142857,2.2142857142857144,2.0
Bonaire,44,14,0.3181818181818182,1.4318181818181819,2.477272727272727
Chagos Islands,16,3,0.1875,1.75,4.75
Sealand,12,4,0.3333333333333333,2.25,2.5
Kurdistan,5,4,0.8,2.4,0.4
Raetia,26,6,0.23076923076923078,1.6538461538461537,3.9615384615384617
Darfur,7,0,0.0,0.14285714285714285,14.142857142857142
Tamil Eelam,28,16,0.5714285714285714,2.5714285714285716,2.1785714285714284
South Sudan,78,12,0.15384615384615385,0.6410256410256411,1.8205128205128205
Saint Barthélemy,10,4,0.4,2.5,3.0
Abkhazia,33,15,0.45454545454545453,1.6363636363636365,0.7878787878787878
Saint Pierre and Miquelon,7,0,0.0,0.2857142857142857,11.142857142857142
Artsakh,11,6,0.5454545454545454,2.909090909090909,1.2727272727272727
Madrid,1,0,0.0,1.0,2.0
Quebec,3,2,0.6666666666666666,8.0,0.6666666666666666
Saugeais,1,0,0.0,1.0,1.0
Ellan Vannin,22,11,0.5,2.4545454545454546,1.4545454545454546
Vatican City,8,0,0.0,0.75,2.625
Somaliland,6,2,0.3333333333333333,2.3333333333333335,3.3333333333333335
Franconia,3,2,0.6666666666666666,2.6666666666666665,3.6666666666666665
South Ossetia,17,5,0.29411764705882354,2.0588235294117645,2.176470588235294
County of Nice,9,6,0.6666666666666666,2.111111111111111,1.4444444444444444
Seborga,1,0,0.0,2.0,3.0
Székely Land,27,9,0.3333333333333333,2.074074074074074,2.074074074074074
Panjab,19,9,0.47368421052631576,2.8421052631578947,1.5789473684210527
Felvidék,12,5,0.4166666666666667,1.1666666666666667,1.6666666666666667
Luhansk PR,6,2,0.3333333333333333,1.5,2.0
Donetsk PR,6,2,0.3333333333333333,1.3333333333333333,1.1666666666666667
United Koreans in Japan,12,3,0.25,1.6666666666666667,0.9166666666666666
Western Armenia,16,5,0.3125,2.125,1.25
Délvidék,2,1,0.5,2.0,1.5
Barawa,12,3,0.25,1.3333333333333333,3.8333333333333335
Ryūkyū,1,0,0.0,0.0,9.0
Kárpátalja,11,5,0.45454545454545453,2.272727272727273,1.1818181818181819
Yorkshire,7,5,0.7142857142857143,3.857142857142857,1.5714285714285714
Matabeleland,8,3,0.375,0.875,1.75
Cascadia,7,4,0.5714285714285714,3.2857142857142856,2.0
Kabylia,6,1,0.16666666666666666,1.3333333333333333,2.5
Parishes of Jersey,3,2,0.6666666666666666,3.6666666666666665,1.3333333333333333
Chameria,7,3,0.42857142857142855,2.0,1.1428571428571428
Saint Helena,8,0,0.0,0.75,5.125
West Papua,2,0,0.0,1.5,4.5
Elba Island,2,2,1.0,4.5,1.0
Yoruba Nation,2,0,0.0,0.5,1.0
Biafra,3,2,0.6666666666666666,0.6666666666666666,0.3333333333333333
Mapuche,2,1,0.5,1.5,1.0
Aymara,2,0,0.0,0.5,2.0
Ticino,2,0,0.0,1.0,6.5
